year,gender,medal,athlete,country,type,medal_count,athlete_count
1980,Men,Gold,BRENNE Manfred,West Germany,Archery,156,249
1980,Men,Gold,BUTENHOFF Hilmar,West Germany,Archery,156,249
1980,Men,Gold,POHL K.,West Germany,Archery,156,249
1980,Men,Silver,APPELKVIST Sune,Sweden,Archery,130,249
1980,Men,Silver,BABKIN Nicolai,Sweden,Archery,130,249
1980,Men,Silver,CARSSON Jan O.,Sweden,Archery,130,249
1980,Men,Bronze,,-,Archery,39,249
1980,Men,Gold,BARDOEL Filip,Belgium,Archery,39,249
1980,Men,Gold,GRUN Guy,Belgium,Archery,39,249
1980,Men,Gold,MEYSEN Jozef,Belgium,Archery,39,249
1980,Men,Silver,BUCHANAN J.CORRIE Alan,United Kingdom,Archery,321,249
1980,Men,Silver,SMITH I.,United Kingdom,Archery,321,249
1980,Men,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,West Germany,Archery,156,249
1984,Men,Gold,,Belgium,Archery,39,235
1984,Men,Silver,,Netherlands,Archery,209,235
1984,Men,Bronze,,United Kingdom,Archery,321,235
1984,Men,Gold,AHLINDER S.BABKIN Nicolai,Sweden,Archery,130,235
1984,Men,Gold,TJERNELL Arne,Sweden,Archery,130,235
1984,Men,Silver,DUCRET Rene,France,Archery,458,235
1984,Men,Silver,HAMART George,France,Archery,458,235
1984,Men,Silver,LELON Daniel,France,Archery,458,235
1984,Men,Bronze,BOECKERS Manfred,West Germany,Archery,156,235
1984,Men,Bronze,BRENNE Manfred,West Germany,Archery,156,235
1984,Men,Bronze,BUTENHOFF Kilmar,West Germany,Archery,156,235
1984,Men,Gold,,France,Archery,458,235
1984,Men,Silver,,Australia,Archery,364,235
1984,Men,Bronze,,United Kingdom,Archery,321,235
1984,Men,Gold,,France,Archery,458,235
1984,Men,Silver,,-,Archery,39,235
1984,Men,Bronze,,-,Archery,39,235
1988,Men,Gold,AN Tae Sung,South Korea,Archery,231,373
1988,Men,Gold,CHO Hyun Kwan,South Korea,Archery,231,373
1988,Men,Gold,KIM Sung Hee,South Korea,Archery,231,373
1988,Men,Gold,LEE Hak Young,South Korea,Archery,231,373
1988,Men,Silver,KALLUNKI Keijo,Finland,Archery,41,373
1988,Men,Silver,TIRRONEN Raimo,Finland,Archery,41,373
1988,Men,Silver,VIINIKKA Veijo,Finland,Archery,41,373
1988,Men,Bronze,COURTILLON Lucien,France,Archery,458,373
1988,Men,Bronze,FAVRE Jean-Michel,France,Archery,458,373
1988,Men,Bronze,LELOU Daniel,France,Archery,458,373
1988,Men,Gold,JANG Ki Ki,South Korea,Archery,231,373
1988,Men,Gold,KIM Hee Sook,South Korea,Archery,231,373
1988,Men,Gold,KIM Ho Sung,South Korea,Archery,231,373
1988,Men,Gold,YOON Choon Heung,South Korea,Archery,231,373
1988,Men,Silver,AMADI Fabio,Italy,Archery,128,373
1988,Men,Silver,GABELLI Giuseppe,Italy,Archery,128,373
1988,Men,Silver,KOTEN Giuliano,Italy,Archery,128,373
1988,Men,Silver,PIZZORNI Orazio,Italy,Archery,128,373
1988,Men,Bronze,INOUE Yoshihiro,Japan,Archery,89,373
1988,Men,Bronze,OKANISHI Michio,Japan,Archery,89,373
1988,Men,Bronze,UCHIYAMA Junji,Japan,Archery,89,373
1988,Men,Bronze,YOSHIDA Shigetoshi,Japan,Archery,89,373
1988,Women,Gold,ANIC Wilma,United Kingdom,Archery,321,133
1988,Women,Gold,COOPER Joan,United Kingdom,Archery,321,133
1988,Women,Gold,WATTS Karen,United Kingdom,Archery,321,133
1988,Women,Silver,DROSDZIOK Ursula,West Germany,Archery,156,133
1988,Women,Silver,ENZMANN Inge,West Germany,Archery,156,133
1988,Women,Silver,KIEBLICH Karin,West Germany,Archery,156,133
1988,Women,Bronze,COLLIN Sirkka Liisa,Finland,Archery,41,133
1988,Women,Bronze,JOKIVIRTA Hilkka,Finland,Archery,41,133
1988,Women,Bronze,KORVA Elli,Finland,Archery,41,133
1992,Men,Gold,BAHLS Karl,Germany,Archery,348,435
1992,Men,Gold,NORTMANN Hermann,Germany,Archery,348,435
1992,Men,Gold,WOLF Udo,Germany,Archery,348,435
1992,Men,Silver,GABELLI Giuseppe,Italy,Archery,128,435
1992,Men,Silver,MALOVINI Luciano,Italy,Archery,128,435
1992,Men,Silver,PIZZORNI Orazio,Italy,Archery,128,435
1992,Men,Bronze,CHOI Jang Sub,South Korea,Archery,231,435
1992,Men,Bronze,JANG Ki Ki,South Korea,Archery,231,435
1992,Men,Bronze,LEE Ouk Soo,South Korea,Archery,231,435
1992,Men,Gold,CHO Hyun Kwan,South Korea,Archery,231,435
1992,Men,Gold,KIM Sung Hee,South Korea,Archery,231,435
1992,Men,Gold,LEE Hak Young,South Korea,Archery,231,435
1992,Men,Silver,FERNANDEZ Jose,Spain,Archery,158,435
1992,Men,Silver,HERMOSIN Jose Luis,Spain,Archery,158,435
1992,Men,Silver,REBOLLO Antonio,Spain,Archery,158,435
1992,Men,Bronze,FAVRE Jean-Michel,France,Archery,458,435
1992,Men,Bronze,GARCIA Jean Francois,France,Archery,458,435
1992,Men,Bronze,LE BRAS Rene,France,Archery,458,435
1996,Men,Gold,NORTMANN Hermann,Germany,Archery,348,366
1996,Men,Gold,OEHME Mario,Germany,Archery,348,366
1996,Men,Gold,WOLF Udo,Germany,Archery,348,366
1996,Men,Silver,GABELLI Giuseppe,Italy,Archery,128,366
1996,Men,Silver,MAI Marco,Italy,Archery,128,366
1996,Men,Silver,MALOVINI Luciano,Italy,Archery,128,366
1996,Men,Bronze,LEE Ouk Soo,South Korea,Archery,231,366
1996,Men,Bronze,OH Doo,South Korea,Archery,231,366
1996,Men,Bronze,YOU In,South Korea,Archery,231,366
1996,Men,Gold,AN Tae Sung,South Korea,Archery,231,366
1996,Men,Gold,CHO Hyeon,South Korea,Archery,231,366
1996,Men,Gold,LEE Hak Young,South Korea,Archery,231,366
1996,Men,Silver,JONSKI Stanislaw,Poland,Archery,147,366
1996,Men,Silver,LEZANSKI Tomasz,Poland,Archery,147,366
1996,Men,Silver,OLEJNIK Ryszard,Poland,Archery,147,366
1996,Men,Bronze,ISHIDA Mitoya,Japan,Archery,89,366
1996,Men,Bronze,NISHII Kenichi,Japan,Archery,89,366
1996,Men,Bronze,SATO Masao,Japan,Archery,89,366
1996,Women,Gold,FANTATO Paola,Italy,Archery,128,171
1996,Women,Gold,LAZZARONI Roberta,Italy,Archery,128,171
1996,Women,Gold,TRUCCOLO Sandra,Italy,Archery,128,171
1996,Women,Silver,MATSUEDA Shigeko,Japan,Archery,89,171
1996,Women,Silver,SUZUKI Hifumi,Japan,Archery,89,171
1996,Women,Silver,YONEZAWA Masako,Japan,Archery,89,171
1996,Women,Bronze,CHAPMAN Anita,United Kingdom,Archery,321,171
1996,Women,Bronze,GALE Rebecca,United Kingdom,Archery,321,171
1996,Women,Bronze,SMITH Kathleen,United Kingdom,Archery,321,171
2000,Men,Gold,DE PELLEGRIN Oscar,Italy,Archery,128,481
2000,Men,Gold,CARRUBBA Salvatore,Italy,Archery,128,481
2000,Men,Gold,GABELLI Giuseppe,Italy,Archery,128,481
2000,Men,Silver,EST Charles,France,Archery,458,481
2000,Men,Silver,HATEM Olivier,France,Archery,458,481
2000,Men,Silver,MILADINOVIC Dejan,France,Archery,458,481
2000,Men,Bronze,CHO Hyun Kwan,South Korea,Archery,231,481
2000,Men,Bronze,LEE Hong Gu,South Korea,Archery,231,481
2000,Men,Bronze,LEE Ouk Soo,South Korea,Archery,231,481
2000,Women,Gold,FANTATO Paola,Italy,Archery,128,161
2000,Women,Gold,MENCONI Anna,Italy,Archery,128,161
2000,Women,Gold,TRUCCOLO Sandra,Italy,Archery,128,161
2000,Women,Silver,CHAPMAN Anita,United Kingdom,Archery,321,161
2000,Women,Silver,SMITH Kathleen,United Kingdom,Archery,321,161
2000,Women,Silver,WHITE Jane,United Kingdom,Archery,321,161
2000,Women,Bronze,ISOZAKI Naomi,Japan,Archery,89,161
2000,Women,Bronze,SUZUKI Hifumi,Japan,Archery,89,161
2000,Women,Bronze,YONEZAWA Masako,Japan,Archery,89,161
2004,Men,Gold,JUNG Young Joo,South Korea,Archery,231,408
2004,Men,Gold,LEE Hak Young,South Korea,Archery,231,408
2004,Men,Gold,LEE Hong Gu,South Korea,Archery,231,408
2004,Men,Silver,MINAMI Koichi,Japan,Archery,89,408
2004,Men,Silver,ONODERA Kimimasa,Japan,Archery,89,408
2004,Men,Silver,SAKODO Shinji,Japan,Archery,89,408
2004,Men,Bronze,CROSS Aaron,United States,Archery,515,408
2004,Men,Bronze,FABRY Jeffrey,United States,Archery,515,408
2004,Men,Bronze,STONE Kevin,United States,Archery,515,408
2004,Women,Gold,CHAPMAN Anita,United Kingdom,Archery,321,203
2004,Women,Gold,PARKER Margaret,United Kingdom,Archery,321,203
2004,Women,Gold,SMITH Kathleen,United Kingdom,Archery,321,203
2004,Women,Silver,FANTATO Paola,Italy,Archery,128,203
2004,Women,Silver,MENCONI Anna,Italy,Archery,128,203
2004,Women,Silver,TRUCCOLO Sandra,Italy,Archery,128,203
2004,Women,Bronze,KO Hee Sook,South Korea,Archery,231,203
2004,Women,Bronze,LEE Hwa Sook,South Korea,Archery,231,203
2004,Women,Bronze,LEE Kyung Hee,South Korea,Archery,231,203
2008,Men,Gold,CHO Hyun Kwan,South Korea,Archery,231,295
2008,Men,Gold,KIM Hong Kyu,South Korea,Archery,231,295
2008,Men,Gold,LEE Hong Gu,South Korea,Archery,231,295
2008,Men,Silver,CHEN Yegang,China,Archery,408,295
2008,Men,Silver,CHENG Changjie,China,Archery,408,295
2008,Men,Silver,DONG Zhi,China,Archery,408,295
2008,Men,Bronze,DE PELLEGRIN Oscar,Italy,Archery,128,295
2008,Men,Bronze,ESPOSITO Mario,Italy,Archery,128,295
2008,Men,Bronze,VITALE Marco,Italy,Archery,128,295
2008,Women,Gold,FU Hongzhi,China,Archery,408,148
2008,Women,Gold,GAO Fangxia,China,Archery,408,148
2008,Women,Gold,XIAO Yanhong,China,Archery,408,148
2008,Women,Silver,KIM Ki Hee,South Korea,Archery,231,148
2008,Women,Silver,KIM Ran Sook,South Korea,Archery,231,148
2008,Women,Silver,LEE Hwa Sook,South Korea,Archery,231,148
2008,Women,Bronze,CERNA Miroslava,Czech Republic,Archery,39,148
2008,Women,Bronze,KUNCOVA Lenka,Czech Republic,Archery,39,148
2008,Women,Bronze,SIDKOVA Marketa,Czech Republic,Archery,39,148
2012,Men,Gold,OYUN Mikhail,Russia,Archery,43,293
2012,Men,Gold,SHESTAKOV Oleg,Russia,Archery,43,293
2012,Men,Gold,TUCHINOV Timur,Russia,Archery,43,293
2012,Men,Silver,JUNG Young Joo,South Korea,Archery,231,293
2012,Men,Silver,KIM Suk Ho,South Korea,Archery,231,293
2012,Men,Silver,LEE Myeong Gu,South Korea,Archery,231,293
2012,Men,Bronze,CHENG Changjie,China,Archery,408,293
2012,Men,Bronze,DONG Zhi,China,Archery,408,293
2012,Men,Bronze,LI Zongshan,China,Archery,408,293
2012,Women,Gold,KIM Ran Sook,South Korea,Archery,231,139
2012,Women,Gold,KO Hee Sook,South Korea,Archery,231,139
2012,Women,Gold,LEE Hwa Sook,South Korea,Archery,231,139
2012,Women,Silver,GAO Fangxia,China,Archery,408,139
